Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/odds/list,2104,2104,7800,7779.005080592679,7769.956624999395,7835.886292000396,0.0,35.58768154794882,35.58768154794882,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800
GET,/api/v1/subscription/status,1276,1276,7800,7778.815441189638,7770.081915999981,7831.841666999935,0.0,21.58264337223512,21.58264337223512,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800
GET,/docs,1224,1224,7800,7778.653518488533,7769.873917000041,7824.933041999429,0.0,20.703099911924596,20.703099911924596,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800
,Aggregated,4604,4604,7800,7778.8590571578825,7769.873917000041,7835.886292000396,0.0,77.87342483210853,77.87342483210853,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800
