Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/health,115,0,110,459.02932059126096,39.09865900641307,2792.7374920109287,60.0,1.970654504935488,0.0,110,330,590,910,1600,2000,2300,2700,2800,2800,2800
GET,/api/v1/decisions,241,0,140,376.0152106144112,98.29044000071008,2857.0691009954317,3039.0,4.129806397299588,0.0,140,190,290,390,1300,1900,2200,2300,2900,2900,2900
GET,/api/v1/subscription/status,250,0,140,445.5855391517398,80.67697400110774,2813.52087999403,95.0,4.284031532468452,0.0,140,260,510,540,1400,1900,2700,2700,2800,2800,2800
,Aggregated,606,0,140,420.4693439174968,39.09865900641307,2857.0691009954317,1259.1567656765676,10.384492434703528,0.0,140,220,410,530,1400,1900,2300,2700,2900,2900,2900
