Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login,50,50,9,12.297669180006778,5.051874999480788,28.954082999916864,102.0,11.65874259484453,11.65874259484453,9,11,11,26,27,28,29,29,29,29,29
GET,/api/predictions,8,8,18,16.083098999956746,3.7287079994712258,26.117124999473162,22.0,1.8653988151751248,1.8653988151751248,18,18,20,20,26,26,26,26,26,26,26
GET,/api/subscription/status,18,18,18,16.407263777839237,3.7451250000231084,27.884457999789447,41.0,4.197147334144031,4.197147334144031,18,18,20,20,24,28,28,28,28,28,28
GET,/healthz,3,3,19,20.14416666679608,17.62795800004824,24.110749999636027,22.0,0.6995245556906717,0.6995245556906717,19,19,24,24,24,24,24,24,24,24,24
,Aggregated,79,79,11,13.915335430398574,3.7287079994712258,28.954082999916864,76.9620253164557,18.420813299854355,18.420813299854355,11,18,19,20,27,28,28,29,29,29,29
