Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780740596,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740597,25,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740598,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740599,75,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740600,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740601,125,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740602,150,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740603,175,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740604,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740605,225,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740606,250,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740607,275,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740608,300,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780740609,325,,Aggregated,0.000000,0.000000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,10,10,7790.731667000728,7789.41534580017,7788.954250000643,7790.731667000728,0.0
1780740610,350,,Aggregated,0.000000,0.000000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,33,33,7800,7790.906521454501,7787.394625000161,7802.1401249998235,0.0
1780740611,375,,Aggregated,0.000000,0.000000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,58,58,7800,7789.62011493101,7780.9268750006595,7802.1401249998235,0.0
1780740612,400,,Aggregated,1.000000,1.000000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,83,83,7800,7789.285387530113,7780.9268750006595,7802.1401249998235,0.0
1780740613,425,,Aggregated,3.300000,3.300000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,108,108,7800,7791.029117675928,7780.9268750006595,7802.1401249998235,0.0
1780740614,450,,Aggregated,5.800000,5.800000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,133,133,7800,7792.661950210546,7780.9268750006595,7817.7352920001795,0.0
1780740615,475,,Aggregated,8.300000,8.300000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,158,158,7800,7792.408696740555,7780.9268750006595,7817.7352920001795,0.0
1780740616,500,,Aggregated,10.800000,10.800000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,183,183,7800,7791.823951502761,7780.9268750006595,7817.7352920001795,0.0
1780740617,500,,Aggregated,13.300000,13.300000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,207,207,7800,7791.76184561355,7780.9268750006595,7817.7352920001795,0.0
1780740618,500,,Aggregated,15.800000,15.800000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,234,234,7800,7791.669613230796,7780.9268750006595,7817.7352920001795,0.0
1780740619,500,,Aggregated,18.300000,18.300000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,267,267,7800,7791.629026831474,7777.207791999899,7820.549666000261,0.0
1780740620,500,,Aggregated,20.700000,20.700000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,316,316,7800,7790.303884905063,7774.59620800073,7820.549666000261,0.0
1780740621,500,,Aggregated,23.500000,23.500000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,365,365,7800,7788.862057909595,7774.59620800073,7820.549666000261,0.0
1780740622,500,,Aggregated,27.200000,27.200000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,414,414,7800,7788.086544000006,7774.4765420002295,7820.549666000261,0.0
1780740623,500,,Aggregated,30.000000,30.000000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,465,465,7800,7787.356339529029,7774.4765420002295,7820.549666000261,0.0
1780740624,500,,Aggregated,32.200000,32.200000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,489,489,7800,7786.951546288337,7773.672333999457,7820.549666000261,0.0
1780740625,500,,Aggregated,34.700000,34.700000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,512,512,7800,7786.587780937492,7773.672333999457,7820.549666000261,0.0
1780740626,500,,Aggregated,36.800000,36.800000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,538,538,7800,7786.215918535304,7773.672333999457,7820.549666000261,0.0
1780740627,500,,Aggregated,36.900000,36.900000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,563,563,7800,7785.904341266421,7773.672333999457,7820.549666000261,0.0
1780740628,500,,Aggregated,37.000000,37.000000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,584,584,7800,7785.639743090751,7773.5527500008175,7820.549666000261,0.0
1780740629,500,,Aggregated,37.000000,37.000000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,628,628,7800,7785.142080356687,7772.92800000032,7820.549666000261,0.0
1780740630,500,,Aggregated,36.700000,36.700000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,677,677,7800,7784.58635777104,7771.341167000173,7820.549666000261,0.0
1780740631,500,,Aggregated,37.700000,37.700000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,722,722,7800,7784.14215258586,7771.341167000173,7820.549666000261,0.0
1780740632,500,,Aggregated,37.700000,37.700000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,777,777,7800,7783.623025685956,7771.341167000173,7820.549666000261,0.0
1780740633,500,,Aggregated,37.500000,37.500000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,818,818,7800,7783.339436271382,7771.341167000173,7820.549666000261,0.0
1780740634,500,,Aggregated,37.200000,37.200000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,843,843,7800,7783.203846224187,7771.341167000173,7820.549666000261,0.0
1780740635,500,,Aggregated,37.100000,37.100000,7800,7800,7800,7800,7800,7800,7800,7800,39000,39000,39000,868,867,7800,7818.965706885933,7771.341167000173,38951.73120900017,1.0944700460829493
1780740636,500,,Aggregated,35.900000,35.900000,7800,7800,7800,7800,7800,7800,7800,7800,40000,40000,40000,898,895,7800,7888.942766789525,7771.341167000173,39800.968958999874,2.4320712694877504
1780740637,500,,Aggregated,35.400000,35.400000,7800,7800,7800,7800,7800,7800,7800,7800,40000,40000,40000,918,915,7800,7886.5399519760285,7771.341167000173,39800.968958999874,2.3790849673202614
1780740638,500,,Aggregated,35.800000,35.700000,7800,7800,7800,7800,7800,7800,7800,7800,40000,40000,40000,952,949,7800,7882.648523761553,7771.341167000173,39800.968958999874,2.2941176470588234
